UTC,upstream_q_ext, downstream_q_ext, h_min_branch1,  h_max_branch1,h_min_branch2, h_max_branch2
2013-01-02 00:00:00,0.5,-0.50,1.70,2.30,0.95,1.50
2013-01-02 00:01:00,0.5,-0.50,1.70,2.30,0.95,1.50
2013-01-02 00:02:00,0.5,-0.50,1.70,2.30,0.95,1.50
2013-01-02 00:03:00,0.5,-0.50,1.70,2.30,0.95,1.50
2013-01-02 00:04:00,0.5,-0.50,1.70,2.30,0.95,1.50
2013-01-02 00:05:00,0.5,-0.50,1.70,2.30,0.95,1.50
2013-01-02 00:06:00,0.0,-0.50,1.70,2.30,0.95,1.50
2013-01-02 00:07:00,0.4,-0.50,1.70,2.30,0.95,1.50
2013-01-02 00:08:00,0.5,-0.50,1.70,2.30,0.95,1.50
2013-01-02 00:09:00,0.5,-0.50,1.70,2.30,0.95,1.50
2013-01-02 00:10:00,0.5,-0.50,1.70,2.30,0.95,1.50



