time,WeirFlow1,branch_1_water_level,branch_2_water_level
2013-01-02 00:00:00,0.692363,2.000000,1.200000
2013-01-02 00:01:00,0.622476,1.853028,1.273486
2013-01-02 00:02:00,0.544220,1.799964,1.300018
2013-01-02 00:03:00,0.506071,1.792678,1.303661
2013-01-02 00:04:00,0.500740,1.791790,1.304105
2013-01-02 00:05:00,0.500085,1.791688,1.304156
2013-01-02 00:06:00,0.046232,1.736210,1.031895
2013-01-02 00:07:00,0.367296,1.775455,0.952273
2013-01-02 00:08:00,0.487732,1.790176,0.944912
2013-01-02 00:09:00,0.498866,1.791537,0.944231
2013-01-02 00:10:00,0.499895,1.791663,0.944169
